# ACTS Test Suite Generation: Tue May 19 00:19:23 CEST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 3
# Maximum number of values per parameter: 4
# Number of configurations: 12
Typ_Jednotky,Stav_Policka,Zustatek_Zlata
Militia,Prazdne,Nedostatek
Militia,Vlastni_jednotka,Dostatek
Militia,Cizi_jednotka,Nedostatek
Infantry,Prazdne,Dostatek
Infantry,Vlastni_jednotka,Nedostatek
Infantry,Cizi_jednotka,Dostatek
Cavalry,Prazdne,Nedostatek
Cavalry,Vlastni_jednotka,Dostatek
Cavalry,Cizi_jednotka,Nedostatek
Artillery,Prazdne,Nedostatek
Artillery,Vlastni_jednotka,Dostatek
Artillery,Cizi_jednotka,Nedostatek
